review,sentiment
"........and an extremely bad one at that!!! How long did this train-wreck last?? 14 episodes or something?? I can see why now.<br /><br />I bought the ""Serenity"" episode from Amazon Unboxed. It was my first purchase, so was free. That is the ONLY good thing about the experience (incident??)<br /><br />I won't comment really on the acting, since these were, I guess, fairly new people who hadn't really gotten the job down just right yet. At least I've never seen them before in any type of major show, theater or TV. If I did, then I have easily forgotten them.<br /><br />But the special effects were absolutely horrendous. True, this isn't exactly a multi-million $$ project, but the original Star Trek did better than this & that was THIRTY-FIVE YEARS ago. I especially got a laugh out of the bad guys (reapers or something like that) ship as it chased the hilarious looking Firefly, with smoke coming out of the engines looking something like a gigantic model rocket. I fully expected to eventually see the Wiley Coyote riding on top, while chasing after the Roadrunner. MODERN jet/rocket engines don't even do it that bad.<br /><br />And that wasn't even the worst of it. The wild-west type shoot-outs had me wondering if I was actually watching a sci-fi film or a Gene Autry one.<br /><br />Regardless of the hype, don't waste your time...I did...all 80-something minutes of the disaster called ""Firefly"".",negative
"I don't see why all the people are giving this film negative reviews?!?! I loved this movie! Bled is a form of abstract art, and if you don't appreciate art, I can see why you would not like this film. It was a great twist from the average, played out vampire movie. If you are looking for a fresh, new and ingenious new vampire movie, then this is for you. But if you want one of those turn into bats, wolves and melt in the sunlight movies, then go watch your old played out Dracula flicks. Sure, it is a bit on the low budget side, but they did a great job with the budget they had. I'm very happy that I found this movie, because I was about to give up on the vampire genre fro good. I thought this film was brilliant! I give 2 thumbs up to the writer, director and everyone involved in the film.",positive
"so yes it is quite nostalgic watching the 1st episode because this is the one episode i definitely remembered. i enjoy watching the first season and yes compared to the action packed shows we have now this show seems lame. but frankly i like the ""less violent"" part of the show and the story line has more substance than the new ones now. I thought it interesting that Belisario's Airwolf and JAG have similar theme - the lead actor (Hawke and Harm) both are looking for an MIA relative (brother, father). wonder if Robert Belisario's personal life mimics these 2 shows' theme.<br /><br />Question - does anyone have pictures of Hawke's cabin. I love that cabin (kinda like a dream cabin of mine) and that is one of the scenes i remember about Airwolf.",positive
"As a South African, living in South Africa again after a 32 year stay in the UK, I am sorry to say that this movie is a huge disappointment. The three main problems I had with the movie was a) why Swank and Ejiofor - an American and a Nigerian - to play the leads. This country is bursting with talent and has no need of imports... b) Gillian Slovo has been trading off her Struggle credentials for years now. She's a very mediocre writer and even her novel doesn't stand up the flaccid direction of Mr Hooper... and c) Hilary Swank again, such a great actor, as proved in Million Dollar Baby (but that's Eastwood too), here dressed in the contemporary New York style whilst roaming freely around the poverty of the Karoo. Where was the consideration and sensitivity needed by the costumer and director? Yes, the film is ultimately moving - how could it not be? - but the overall mood at the conclusion is one of tremendous letdown. Heart's in the right place but needs a pace maker.",negative
"This is easily the most disappointing, least gratifying movie of the entire so-called blacksploitation genre, which, by the way, are films we generally enjoy a great deal in our home. Rather than being ""exploitation"" or demeaning, these films actually provide a priceless insight into an era. Well, not Bucktown.<br /><br />In this story, Duke returns to Bucktown to operate the night club left to him by his recently deceased brother. He quickly learns that the city is entirely controlled by a corrupt police force, bleeding protection money out of all the local businesses. Duke resists, and determines that he will rescue the city from the corrupt police. Unfortunately, he does so by calling in a posse of his friends (these people are vaguely explained as some former black-militants who have worked with Duke on ""jobs"" in the past) and they simply murder the entire police department in cold blood. And literally in the presence of hundreds of witnesses who do nothing to stop it. Ignorance is not a justification for murder, and it would have been much more entertaining to see the Cracker Police suffer for their actions as opposed to merely getting whacked in the street. While revenge is a ubiquitous and generally satisfying theme in films of this genre, it is a far cry from seeing Pam Grier track down the thugs who off'ed her family, cuss them out, give them a jujitsu ass-kickin' and set their 'fro on fire. That has art (and a reason for existing) and merits a level of respect that is quite undeserved by simply shooting someone in the back. Of course, in this bizarre tale, she is playing a woman completely under The Man's thumb, afraid of the Crackers who run her town and oppress her people. Indeed, her advice to Duke is, ""Run, man, they gonna kill you!""<br /><br />Following the sickening and gratuitous violence, we are expected to believe that the town's mayor wholeheartedly condones the actions of Duke and his friends, congratulating them and offering to throw a parade in their honor, as opposed to, say, calling the district attorney to press capital murder charges against them and have them taken into custody. Duke's posse declines the parade and instead opts to fill the numerous vacancies on the police force created by their recent killing spree. They immediately prove to be even more corrupt than their Cracker Police predecessors (to quote the mayor, ""They are ten times worse than what we had before!""). Now Duke finds he must again rescue the citizens of Bucktown from corrupt, protection-racket law enforcement officials and again make it safe for decent folk to operate a prostitution business in the streets. Unfortunately, Duke has already lost all moral high ground and sympathy due a hero, as he was a willing participant in the murder of the original police force. I wouldn't have cared one way or the other if he had rescued Bucktown or gotten plugged himself at this point. I suppose we are to be entertained by the clever way Duke has to outsmart the new Police Goons, but in reality the film has now just become an opera of gratuitous violence, Duke murders all of his former friends and allies in cold blood with the same absence of compassion he had when gunning down the Cracker Police. Duke is a pig.<br /><br />Finally, when everyone in town but Duke, Aretha, and the employees of the local brothel are dead and bleedin' in the street, our hero and heroine walk off into the night as though they had some admirable qualities or redeeming values; they don't. Duke is merely a murderous thug and Aretha his enabling misogynist accomplice. If you are interested in this genre of film, by all means, I highly recommend them, see Coffy, Foxy Brown, Truck Turner, Blacula, Sheba Babybut if in the process you should run across this DVD, throw it as far away as you possibly can! Drop it like it's hot! It should be treated as one would treat a glowing puddle of nuclear waste! There is no single film in the entire Blacksploitation era that is not dramatically more entertaining, satisfying and populated with more sympathetic and admirable characters than this piece of slime, obviously written by and targeted at some hormonally imbalanced high school sophomores.",negative
"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.",positive
"So, where are the cannibals? Those intrigued by the title and the 'real cannibal' appeal of this film will be let down. Instead, we are shown a strange man and his re-visiting of a Papua New Guinea village full of natives, one of whom was his lover several decades prior. The man, Tobias Schneebaum is New York Jewish as they come and somehow, this is intertwined with the documentary as he appears in his yamika in several scenes.<br /><br />There are no real cannibals here: only stories relayed by some of the natives and by Tobias himself. Not all together a bad film. Very interesting and great cinematography. Schneebaum remains highly likable throughout and provides us with a fascinating glimpse into a life that is about as far removed from Western Civilization as one can get.<br /><br />It's just not what it claims to be on the cover and in the plot summary.<br /><br />4 out of 10, kids.",negative
"The above seemed a much more appropriate title when me and my suicidal underlings decided to watch this masterpiece of modern bullshit <br /><br />Erotic,Scary, Suspenseful, Well thought out, these are all the things this film fails to be.<br /><br />It is however incredibly funny, the slow sound effects and bad dubbing add to this to make one of the greatest comedies I have seen in recent years. And yet this film doesn't even try to be funny and that is one of the movies grand achievements, it becomes a comedy without even attempting to amuse.<br /><br />Throughout the film an old guy who looks amazingly like Santa Claus goes around ploughing over zombies and smashing vampires into the ground. This made me fail to believe the films title, if this was vampires vs zombies why were the vampires and zombies not fighting? Oh well whatever, besides there were more flaws to this rental than the title. Such as this one; there has been a virus sweeping through America creating zombie like beings who go around acting a lot like your average tourist. And yet there's only four zombies in the entire film. Another problem is besides one shop everywhere is deserted. Surely you'd see zombies roaming about in the woods or in the background a bit. In fact I believe they just drove around in a circle of forest over and over again since they didn't have a high enough budget to film in a wider location, that or the director didn't want to waste his precious time filming in different areas of wood he was to busy sitting in a trailer jerking off to be bothered with such trivial matters.<br /><br />In fact the director had so much fun doing this that he didn't have enough time to hire a big enough cast or even an editor. And so he told the eight members of the cast to dress up as different people and try not to act inconspicuous, whilst I assume he changed his name and began randomly snipping at the film reels ""editing isn't a hard job anyway right?"" The only reason this ""movie"" found it's way into our bag was because somehow we got it confused with Freddy vs Jason, strange how these things happen isn't it. And the only way we made it though the night was by strapping gas masks on and bolting them to our skulls to avoid the stink of this nauseating mess.<br /><br />Oh yes we did laugh at the end, but I'm sure one does that a lot when he has lost his sanity...................",negative
"So you think a talking parrot is not your cup of tea huh? Well, think again. Paulie is a wonderful film filled with touching moments.The characters are all lovable especially Paulie as he enters the lives of many people on his journey.It is journey worth experiencing. Don't miss it! It is available on home video.",positive
"A ""40 foot long"" giant mutant squid with five tentacles, razor fangs and the ability to reproduce it's own cells terrorizes a small Florida town. Various marine biologists, doctors and cops plot to kill it. Meanwhile, a human monster named Miller offs people who discover the ""Devilfish"" is a manmade creation used for the greedy benefit of some evil doctors! Miller attacks a female researcher, strangles her, drowns her in the bathtub, tosses in a hairdryer, then rips the panties off her dead body!<br /><br />Lots of false alarms are set when our heroes Peter, Stella, Janet and Bob set out on a high tech (high tech for 1984, anyway) ""Seaquarium"" boat to catch the creature, who is frequently seen in close up or hilariously obvious speeded-up film to seem more menacing. And only fire can destroy it, which leads to a flamethrower-armed posse vs. aquatic beast finale.<br /><br />This JAWS cash-in is pretty tame (other than a legless corpse and a decapitation) but watchable and benefits from an excellent Antony Barrymore score and a decent (again, for 1984) monster design. Luigi Cozzi and Sergio Martino wrote the original story.<br /><br />Score: 4 out of 10",negative
"I don't know how to describe this movie. It's definitely one of the weirdest movies I've seen in a long time. It is very unsettling at times but also boring in other places. The scenes of dental torture are very elaborate and may attract anyone who's into gore & splatter. I found myself holding my teeth during some of the aforementioned scenes. The clever thing about the movie is that it plays with our fears and The Dentist is therefore quite unsettling.<br /><br />The humor of the film is somehow hidden and may not be recognized by everyone. But if you're a fan of weird and strange entertainment and teeth getting drilled to dust this is just the film you were looking for.<br /><br />If you read the comment and feel somehow attracted by this kind of entertainment, give it a try!<br /><br />My rating: 4/10 (maybe a little too weird for my taste)",negative
"THE WATERDANCE (1991) The main character of The Waterdance, played by Eric Stoltz, finds himself in a rehab center with some others similarly injured. And there he must face an harsh new life, confined to a wheelchair. It's an interesting, and promising premise, but unfortunately, it fails to deploy. What ensues instead is largely Hollywood schmaltz, with some interesting moments. Certainly the cast (Eric Stoltz, William Forsythe, Wesley Snipes, et al) is brilliant, and perform well here as one would expect, but their talents are wasted. The characters are mainly stereotypes of one kind or another, and most of them are thoroughly unlikeable (the Snipes character being the exception). I suppose this is some kind of attempt to break through people's ideas about the handicapped being ""crippled"" or ""weak"", by depicting them, for the most part, as in-your-face pricks, but it makes for an entirely annoying experience. Admittedly it will show you something of what those with permanent disabilities go through, in a way that is not softened or romanticized, which is useful, and a good idea, but while the process being depicted can make one a difficult person to get along with, and that's worth dealing with, it is not part and parcel to that that these characters must be, to varying degrees, despicable. They wouldn't have to be Disneyfied, either; surely there's a middle ground somewhere. By the film's conclusion, the Eric Stoltz character has come to accept his status as a handicapped person, but since he is such a flaming narcissistic monster from the beginning of the film to the end, we couldn't care less. <br /><br />In addition to its character problems, the film suffers from that weird syndrome that so many Hollywood movies suffer from; the syndrome doesn't really have an official name, but you might call it ""Inexplicable Forgiveness Syndrome"". It goes something like this: characters abuse the crap out of each other, and then without so much as an apology, all is forgiven (an especially obnoxious example of this is in the movie The Breakfast Club, in which one character spends most of the film verbally bullying everybody within earshot; as a resultthey love him. In one of the the latest examples, Spiderman 3, supervillain The Sandman lays waste to a chunk of Manhattan, then wails on Spiderman for what seems like about 15 monotonous minutes before being waved off with what amounts to ""bye, now""). The most egregious example of IFS in The Waterdance is a sequence in which, after being called the n-word by William Forsythe's racist biker character and his friends in the previous scene, the Wesley Snipes character whoops it up with the same Forsythe character in the next scene, as if nothing had just happened just a short time hence. Again, without so much as an ""Oh yeah, sorry about that business back there where I, you know, called you the n-word"". It makes me wonder, do these people actually watch these movies before they release them, or do they just film them with their eyes closed, kind of slap them together in the editing room according to scene number, and call it a day's work?",negative
"I have watched this film twice now and think its quite good for the limited equipment used to create this film. (filmed in 1947) Dr. Heyerdahl explains his theory about the migration of south American Pre-Colubian Indians to the Polynesia's islands by way raft fell of large balsa trees. This documentary follows Dr. Heyerdahl and crew as they select balsa trees in Equidor and float with them down river to the pacific for assembly in Peru. They launch off on a 101 day sea adventure testing the strength of their primitive raft surviving only by means available to natives of that era. See for yourself, a real adventure!",positive
"Still haven't read a single Dan Brown book, but I watched all his movies adaptations. I won't fall into the game to rate this one with the previous because the scope isn't really the same: actually, this one is a thriller, a race against time filled with puzzles.<br /><br />The plot is very twisted, imaginative and the cast is excellent: I never been a great fan of Hanks but he delivers well. I noticed his jeans shirt (the one spilled with blood) because I search for one like this in vain! The Italian searcher is a brilliant newcomer for me but I really applauded Ewan MacGregor portrayal: his inner faith and calm is really impressive.<br /><br />I really like the debate between science and religion. The action taking place in the Vatican, it felt like vacation. At last, I am not sure it helps to add new converts into Christianism. With all the gold and man presence displayed, any one would ask what charity means and why women are so dismissed of the church life whereas they stand for half or more the believers.",positive
"The show had great episodes, this is not one of them. It's not a terrible episode, it's just hard to follow up ""The man that was death."", ""All through the house"", and ""Dig that cat, he's real gone.""<br /><br />This episode is about a couple that has just been married Peggy (Ammanda Plummer) and Charles (Stephen Shellen). In the first five minutes you find out that Charles only married Peggy for her money. The two go on their honeymoon and their car breaks down on a dirt road and they have to seek refuge in an old abandon mansion. Charles soon finds out a secret of Peggy's family...<br /><br />In my opinion you should watch this episode, but just don't expect the same feeling as the rest of the episodes in the first season.",negative
"The very first talking picture has returned from oblivion, and now you can hear it and see it! In autumn of 1894, at the Edison lab complex in West Orange, New Jersey, Thomas Edison's associate William Dickson tried to combine two existing technologies (the phonograph and the kinetoscope) to record sound and image together. In the event, Dickson was unable to synchronise the playback of sound and image, so this experimental film was never released to paying audiences ... and consequently (unlike many silent films which Dickson made for Edison at this time) it has no official title. The silent image (recorded at 40 fps) has been in the Library of Congress for years, known to film historians as a mute curiosity. It was also known that the 'soundtrack' had been recorded on one of the crude wax cylinders languishing at the Edison National Historic Site ... although nobody knew which one.<br /><br />But now that's changed. Recently, curators located the wax cylinder, which had broken into several pieces. These were reassembled: a playback was obtained, and the sound was digitised. Hollywood's veteran soundtrack editor Walter Murch cleaned up the background noise and tweaked the digitisation to make it synch with the film image, which Murch had digitally compressed to 30 fps. Sound and image are synchronised at last!<br /><br />The film begins with an offscreen man's voice calling: 'The rest of you fellows ready? Go ahead!' (The unseen speaker remains unidentified, but was probably Dickson's assistant Fred Ott.) On screen, Dickson plays a violin into an immense funnel mounted on a tripod (one of Edison's sound-recording devices) while alongside him, in full view of the camera, two male lab assistants embrace each other for some quick ballroom dancing to the tempo of Dickson's music.<br /><br />The film lasts barely 17 seconds: just long enough for us to marvel at this crude technology before being provoked to laughter at the sight of two men waltzing in each other's arms. Speaking of which, here's a WARNING: a well-known but extremely inaccurate reference book ('The Celluloid Closet', by the late Vito Russo) includes a frame enlargement from this movie and identifies it as 'The Gay Brothers'. That's incorrect. 'The Gay Brothers' is an entirely different movie, made by Dickson at the Edison lab during this same period. 'The Gay Brothers' never had a soundtrack: it's a brief fiction film about two brothers who are NOT 'gay' in the sense Russo meant it. The deceased Mr Russo, for his own reasons, wanted us to perceive Dickson's experimental sound film (arguably the first movie musical!) as an artefact of 19th-century homoeroticism. (Hmm, what is it about gay men and musicals?) Sorry, but there's just no such content here.<br /><br />This vitally important film deserves a rating of 10 out of 10. I've often maintained that no 'lost' movie should ever be considered irretrievable unless it was deliberately destroyed: I'm delighted to report that this film is finally available to audiences as its producer intended it, more than a century after it was filmed!",positive
"This movie truly shows the farce and hypocrisy of Indian society. What it tries to show you is only ONE side of the story. The other side of the story is the hidden emotional and mental abuse of Indian children which this movie does not show.<br /><br />""Indian Parents"" are culpable for the following: a. Destroying the individuality of the children by making them completely dependent on the parents at a very early age. Such children grow up to be Adults only in physical looks but remain children in minds. Since everything has been provided to them by their great Indian parents, They children automatically do not feel the need to work hard at something or learn the basics of human communication with other human beings apart from their parents.<br /><br />B. I can show you so many Indian parents who try to prevent their kids making friends, going out or prevent them to do anything which starts making them to grow into adults.<br /><br />The reason why they do is the same selfishness. Indian parents ""expect"" their children to take care of them when they grow old. They do no savings for themselves and once they reach the age of 50...They cry out LOUD......We have grown old now and so we are dependent on you children since we have done the GREAT SERVICE of bringing you to this world and taking care of you and making you intellectually weak.<br /><br />Most of the Indian parents at the age of 50 have dilapidated bodies and health and are financially completely insecure. Most feel that they ABSOLUTELY have no need to take care of themselves since they ""expect"" their kids to take care of them.<br /><br />In the west the opposite of that happens. People start planning at the age of 20 about their retirement and once they retire they are financially secure.<br /><br />Indian parents do NOTHING of that sort since like I said they have brought the kids in the world and what better investment at that?.<br /><br />I am a victim of my Indian parents (i am sure there are countless other Indian kids like me), who have grown up physically but are still struggling with their lives on THEIR OWN and they continue to have pestering 50 year olds who cry out loud for HELP all the time.<br /><br />This movie shows only ONE side of the story.....UTTER piece of JUNK",negative
"Why did I have to go out and buy (yes buy!) JACK FROST 2: REVENGE OF THE MUTANT KILLER SNOWMAN??? Maybe it was a burst of temporary mental derangement? But I'm guessing it's because I kind of enjoyed the first JACK FROST. It was a silly but funny horror-comedy which had some okay effects by Screaming Mad George. That and the fact that on the back-cover of the sequel there was this nice picture of this guy impaled by this giant icicle (coming out of his mouth with a lot of blood and all). So I thought: if it's as idiotic as the first and has some nice splatter/gore in it, it should be fun, right? Well, I was so dead wrong! <br /><br />Let me first say that the movie deserves some credit for having an immensely insane and retarded plot. I mean, a mutant killer snowman on a tropical island that spawns mutant killer baby snowballs which can only be killed or harmed by bananas??? As much as I love the premise, I really hated the movie. First of all: while the first JACK FROST looked like an actual movie (seemingly being shot on real film and all), this sequel has the look and feel of a third-rate soap-opera. It has this way too slick shot-on-video look. The lighting is just plain awful (bright white spots for the day look, and stupid colors like blue and green at night). The acting... well don't even go there. The dialogues range from stiff to extremely senile (that Jamaican man was just moronic, saying ""man"" after every sentence). And when it comes to the voice of the killer snowman, all I could think of was a seventh-rate Chucky from CHILD'S PLAY spewing dumb and supposedly witty one-liners before he kills someone.<br /><br />The best joke was were one guy asks ""Why are you talking to your watch?"". And the best scene was undoubtedly the one with that beautiful Asian chick popping up out of nowhere and taking a swim in the pool totally naked (thank god for that!). Oh, yeah, and that little scene over the end-credits with those two Japanese dudes on a miniature ship being badly dubbed had me laughing too. But the worst thing about this movie was: Where was the gore and splatter action everyone is talking about? There were plenty of occasions to show some decent gory killings. A lot of people were killed off in original ways here, but all off-screen. Like I've read in many other comments, there were indeed nice set-ups to a head explosion, a crushed body, eyes being poked out, tongue ripped out,... but on the crucial moments the editor cuts away to some blood splatters on the floor or nothing at all. That frontal shot of that British guy being impaled (from the back-cover of the DVD) wasn't even in the movie. I only saw that particular killing filmed from the back (meaning I didn't see sh!t!). I was waiting throughout the whole movie for that to happen, and then I get to see nothing?!?! What a let-down! Could it be that I saw a cut version of the movie? That would be a shame, 'cause only a decent amount of splatter-fun could have saved this movie if you ask me. Seeing a lot of killer snowballs reduced to bloody pulp just didn't cut it for me. Speaking of those snowballs: they were done very poorly. They made MUNCHIES look like state-of-the-art 'animatronics'. But I guess that was the whole point of it. At some point, the special effects crew even turned to some laughably bad CGI. Boy, you really have to see it to believe it. Best is to not see it, actually, 'cause this flick is just too bad (okay, I did laugh with it, for it kept getting worse and worse). Just stick with the first JACK FROST (1996) and you'll be okay (just bare in mind that it's a pretty silly horror-comedy but fun in it's own right).<br /><br />It's funny, but writer/director Michael Cooney somehow must have realized that he was a pretty bad director after JACK FROST 2, and then focused on writing. Turns out he then wrote two pretty good thriller screenplays for THE I INSIDE (starring Ryan Phillippe) and IDENTITY (starring John Cusack). So the man seems to have some talent after all.<br /><br />Now it would be far too easy to give JACK FROST 2 the lowest rating possible. So I say one point for that naked Asian babe doing the skinny dipping and one point for those completely retarded snowball babies. Way to go Mr. Cooney!",negative
"As is nearly always the case, when Britain comes up with an entertaining and/or successful sit-com or quiz show, the Yanks will come along and poach the format and produce their own, grossly inferior, version. Man About The House is, of course, no exception to that rule. The Yanks' version ( Three's Company ) was unwatchable, braindead pap that seem to run forever. A prime example of quantity over ( non-existent ) quality. The original, on the other hand, is a fondly-remembered gem that had the savvy ( like Fawlty Towers ) to pull the plug at precisely the right time ( unlike the 637 episodes of 'hilarity' that Three's Company came up with ). Jo was cute, there was brilliant chemistry between the Ropers, Richard O'Sullivan made it all look so easy, the scripts, whilst not exactly Oscar Wilde-standard, were consistently funny and Chrissy was THE most drop-dead gorgeous woman who has walked the face of this planet since The Dead Sea was merely feeling unwell. 'Nuff said.",positive
